Kategorie,Medientyp,Platzierung,Format-Schema,Quelle
[cite_start]Abbildungen,Bild aus dem Web,Abbildungsverzeichnis,"Abb. Nr.: Name(n), Vorname(n) des Fotografen/Agentur: Titel oder Beschreibung des Bildes, Aufnahmedatum – TT.MM.JJJJ. URL, abgerufen am TT.MM.JJJJ.",[cite: 265]
[cite_start]Abbildungen,Bild aus dem Web,Bildunterschrift,"Abb. Nr.: Titel oder Beschreibung der Abbildung. Name(n) des Fotografen, Aufnahmedatum – TT.MM.JJJJ.",[cite: 267]
[cite_start]Abbildungen,Selbsterstellte Grafik,Abbildungsverzeichnis,"Abb. Nr.: Beschreibung der Abbildung. Datenquelle: konkrete Datenquelle, Veröffentlichungsdatum – TT.MM.JJJJ. URL, abgerufen am TT.MM.JJJJ.",[cite: 271]
[cite_start]Abbildungen,Selbsterstellte Grafik,Bildunterschrift,"Abb. Nr.: Beschreibung der Abbildung. Datenquelle: konkrete Datenquelle, Veröffentlichungsdatum – TT.MM.JJJJ.",[cite: 273]
[cite_start]Audio/Video,Podcast,Quellenverzeichnis,"Name(n), Vorname(n): Titel des Podcastbeitrags, in: Titel des Podcasts. Veröffentlichungsdatum – TT.MM.JJJJ. URL, abgerufen am TT.MM.JJJJ.",[cite: 280]
[cite_start]Audio/Video,Podcast,Fussnote,"Name(n): Prägnantes Wort aus dem Titel, Veröffentlichungsdatum – TT.MM.JJJJ.",[cite: 282]
[cite_start]Audio/Video,Musikalbum,Quellenverzeichnis,"Name(n), Vorname(n): Albumtitel. Plattenfirma/Label, Erscheinungsjahr.",[cite: 283]
[cite_start]Audio/Video,Musikalbum,Fussnote,"Name(n): prägnantes Wort aus dem Titel (Erscheinungsjahr).",[cite: 284]
[cite_start]Audio/Video,Einzelnes Lied,Quellenverzeichnis,"Name(n), Vorname(n): Songtitel. Albumtitel. Plattenfirma/Label, Erscheinungsjahr.",[cite: 285]
[cite_start]Audio/Video,Einzelnes Lied,Fussnote,"Name(n): prägnantes Wort aus dem Titel (Erscheinungsjahr).",[cite: 286]
[cite_start]Audio/Video,Radiobeitrag,Quellenverzeichnis,"Name(n), Vorname(n): Titel des Beitrages. Sender oder Quelle, Name der Sendung, Sendedatum – TT.MM.JJJJ.",[cite: 287]
[cite_start]Audio/Video,Radiobeitrag,Fussnote,"Name(n): prägnantes Wort aus dem Titel, Sendedatum – TT.MM.JJJJ.",[cite: 289]
[cite_start]Audio/Video,Film,Quellenverzeichnis,"Name(n), Vorname(n) Regisseur/-in: Titel. Anbieter, Produktionsland, Erscheinungsjahr.",[cite: 292]
[cite_start]Audio/Video,Film,Fussnote,"Name(n) Regisseur/-in: Prägnantes Wort aus dem Titel (Erscheinungsjahr).",[cite: 293]
[cite_start]Audio/Video,TV-Sendung,Quellenverzeichnis,"Name(n), Vorname(n): Titel der Folge, in: Name der Sendung. Sender, Sendedatum – TT.MM.JJJJ. URL, abgerufen am TT.MM.JJJJ.",[cite: 294]
[cite_start]Audio/Video,TV-Sendung,Fussnote,"Name(n): Prägnantes Wort aus dem Titel, Sendedatum – TT.MM.JJJJ.",[cite: 297]
[cite_start]Audio/Video,Serie (Streaming),Quellenverzeichnis,"«Folgentitel». Drehbuch: Name, Vorname, Produzent/Regisseur: Name, Vorname. Serientitel, Staffelnummer, Folgenummer, Plattform Erscheinungsjahr, abgerufen am – TT.MM.JJJJ.",[cite: 299]
[cite_start]Audio/Video,Serie (Streaming),Fussnote,"Prägnantes Wort aus dem Folgentitel (Erscheinungsjahr).",[cite: 302]
[cite_start]Audio/Video,Video (Streaming/YouTube),Quellenverzeichnis,"Username: Titel, Veröffentlichungsdatum – TT.MM.JJJJ. URL, abgerufen am – TT.MM.JJJJ.",[cite: 303]
[cite_start]Audio/Video,Video (Streaming/YouTube),Fussnote,"Username: prägnantes Wort aus dem Titel, Veröffentlichungsdatum – TT.MM.JJJJ.",[cite: 305]
[cite_start]Audio/Video,Game (Physisch),Quellenverzeichnis,"[Ggf. Name(n), Vorname(n):] Titel. Produktionsfirma. (Plattform/Version) Erscheinungsjahr.",[cite: 309]
[cite_start]Audio/Video,Game (Online),Quellenverzeichnis,"[Ggf. Name(n), Vorname(n):] Titel. Produktionsfirma. (Plattform/Version) Erscheinungsjahr. URL, abgerufen am – TT.MM.JJJJ.",[cite: 311]
[cite_start]Audio/Video,Game (Alle),Fussnote,"Prägnantes Wort aus dem Titel (Erscheinungsjahr).",[cite: 310]
[cite_start]Andere,Brief/E-Mail,Quellenverzeichnis,"Name(n), Vorname(n): Titel/Thema, Mail vom Datum – TT.MM.JJJJ.",[cite: 314]
[cite_start]Andere,Brief/E-Mail,Fussnote,"Name(n): prägnantes Wort aus dem Titel, Datum – TT.MM.JJJJ.",[cite: 316]
[cite_start]Andere,Interview,Quellenverzeichnis,"Name(n), Vorname(n) des Interviewers: Interview mit Vorname(n) Name(n) des/der Interviewten, Ort des Interviews, Datum des Interviews – TT.MM.JJJJ.",[cite: 318]
[cite_start]Andere,Interview,Fussnote,"Interview mit Vorname(n) Name(n), Datum des Interviews – TT.MM.JJJJ.",[cite: 320]
[cite_start]Andere,Gesetz,Nur Text/Fussnote,"§ (bzw. Artikel/Art.), Absatz (Abs. x), Satz (S. x) und Gesetz. (Bsp: § 123 Abs. 1 StGB)",[cite: 328]
